element label,element description,external_xml,xml_classification
,,/codeBook,mandatory
,"The top-level element, codeBook, also includes a version attribute to specify the version number of the DDI specification.",//codeBook[@version],mandatory
,,//codeBook[@xmlns],mandatory
,,//codeBook[@xmlns:xsi],mandatory
,,//codeBook[@xsi:schemaLocation],mandatory
dataset,Information about the data file(s) that comprises a collection.,//codeBook/fileDscr,mandatory
,Provides descriptive information about the data file.,//codeBook/fileDscr/fileTxt,mandatory
dataset name,Contains a short title that will be used to distinguish a particular file/part from other files/parts in the data collection.,//codeBook/fileDscr/fileTxt/fileName,mandatory
,"The complex element fileCitation provides for a full bibliographic citation option for each data file described in fileDscr. To support accurate citation of a data file the minimum element set includes: titl, IDNo, authEnty, producer, and prodDate.",//codeBook/fileDscr/fileTxt/fileCitation,optional
,Title statement for the work.,//codeBook/fileDscr/fileTxt/fileCitation/titlStmt,optional
dataset label,Full authoritative title for the work (…) A full title should indicate the geographic scope of the data collection as well as the time period covered.,//codeBook/fileDscr/fileTxt/fileCitation/titlStmt/titl,optional
language tag,"Attribute to specify the language of the <dataset label>. <Use ISO-639-1-Code for language subtags, e.g. en for English.>",//codeBook/fileDscr/fileTxt/fileCitation/titlStmt/titl[@xml:lang],mandatory if ‚titl‘ element is present
dataset description,"Abstract or description of the file. A summary describing the purpose, nature, and scope of the data file, special characteristics of its contents, major subject areas covered, and what questions the PIs attempted to answer when they created the file.",//codeBook/fileDscr/fileTxt/fileCont,optional
language tag,"Attribute to specify the language of the <dataset description>. <Use ISO-639-1-Code for language subtags, e.g. en for English.>",//codeBook/fileDscr/fileTxt/fileCont[@xml:lang],mandatory if ‘fileCont’ element is present
,For clarifying information/annotation regarding the <dataset>.,//codeBook/fileDscr/fileTxt/notes,optional
,This element permits encoders to provide links from any arbitrary element containing ExtLink as a subelement to electronic resources outside the codebook.,//codeBook/fileDscr/fileTxt/notes/ExtLink,optional
dataset url,Attribute to provide an URL for more detailed information on the dataset.,//codeBook/fileDscr/fileTxt/notes/ExtLink[@URI],mandatory if ‘ExtLink’ element is present
variables,Description of variables.,//codeBook/dataDscr,mandatory
variable,This element describes all of the features of a single variable in a social science data file. ,//codeBook/dataDscr/var,mandatory
variable name,"The attribute ""name"" usually contains the so-called ""short label"" for the variable, limited to eight characters in many statistical analysis systems such as SAS or SPSS. ",//codeBook/dataDscr/var[@name],mandatory if ‚var‘ element is present
variable label,"A short description of the variable. In the variable label, the length of this phrase may depend on the statistical analysis system used (e.g., some versions of SAS permit 40-character labels, while some versions of SPSS permit 120 characters), although the DDI itself imposes no restrictions on the number of characters allowed.",//codeBook/dataDscr/var/labl,optional
language tag,"Attribute to specify the language of the <variable label>. <Use ISO-639-1-Code for language subtags, e.g. en for English.>",//codeBook/dataDscr/var/labl[@xml:lang],mandatory if ‚labl‘ element is present
variable description,Lengthier description of the variable. ,//codeBook/dataDscr/var/txt,optional
language tag,"Attribute to specify the language of the <variable description>. <Use ISO-639-1-Code for language subtags, e.g. en for English.>",//codeBook/dataDscr/var/txt[@xml:lang],mandatory if ‘txt’ element is present
,For clarifying information/annotation regarding the <variable>.,//codeBook/dataDscr/var/notes,optional
,This element permits encoders to provide links from any arbitrary element containing ExtLink as a subelement to electronic resources outside the codebook.,//codeBook/dataDscr/var/notes/ExtLink,optional
variable url,Attribute to provide an URL for more detailed information on the variable.,//codeBook/dataDscr/var/notes/ExtLink[@URI],mandatory if ‘ExtLink’ element is present
,The technical format of the variable in question. ,//codeBook/dataDscr/var/varFormat,optional
variable type,"Attributes for this element include: ""type,"" which indicates if the variable is character or numeric;",//codeBook/dataDscr/var/varFormat[@type],mandatory if ‚varFormat‘ element is present
category,A description of a particular response.,//codeBook/dataDscr/var/catgry,optional
category values,The explicit response.,//codeBook/dataDscr/var/catgry/catValue,mandatory if ‘catgry’ element is present
category labels,A short description of the <category values>.,//codeBook/dataDscr/var/catgry/labl,optional
language tag,"Attribute to specify the language of the <category labels>. <Use ISO-639-1-Code for language subtags, e.g. en for English.>",//codeBook/dataDscr/var/catgry/labl[@xml:lang],mandatory if ‘labl’ element is present
